"subpop","population"
"56000","581024"
"50000","624313"
"11000","692683"
"02000","737068"
"38000","756717"
"46000","870638"
"10000","957248"
"30000","1050649"
"44000","1057231"
"23000","1335492"
"33000","1348124"
"15000","1422094"
"16000","1717750"
"54000","1817305"
"31000","1914571"
"35000","2092454"
"20000","2910652"
"32000","2972382"
"28000","2984418"
"05000","2999370"
"49000","3096848"
"19000","3139508"
"09000","3575074"
"40000","3932870"
"41000","4129803"
"21000","4449052"
"22000","4664362"
"01000","4876250"
"45000","5020806"
"27000","5563378"
"08000","5610349"
"55000","5790716"
"24000","6018848"
"29000","6104910"
"18000","6665703"
"47000","6709356"
"25000","6850553"
"04000","7050299"
"53000","7404107"
"51000","8454463"
"34000","8878503"
"26000","9965265"
"37000","10264876"
"13000","10403847"
"39000","11655397"
"17000","12770631"
"42000","12791530"
"36000","19572319"
"12000","20901636"
"48000","28260856"
"06000","39283497"
