USPS,state,subpop,population
AL,Alabama,01000,4876250
AK,Alaska,02000,737068
AZ,Arizona,04000,7050299
AR,Arkansas,05000,2999370
CA,California,06000,39283497
CO,Colorado,08000,5610349
CT,Connecticut,09000,3575074
DE,Delaware,10000,957248
DC,District of Columbia,11000,692683
FL,Florida,12000,20901636
GA,Georgia,13000,10403847
HI,Hawaii,15000,1422094
ID,Idaho,16000,1717750
IL,Illinois,17000,12770631
IN,Indiana,18000,6665703
IA,Iowa,19000,3139508
KS,Kansas,20000,2910652
KY,Kentucky,21000,4449052
LA,Louisiana,22000,4664362
ME,Maine,23000,1335492
MD,Maryland,24000,6018848
MA,Massachusetts,25000,6850553
MI,Michigan,26000,9965265
MN,Minnesota,27000,5563378
MS,Mississippi,28000,2984418
MO,Missouri,29000,6104910
MT,Montana,30000,1050649
NE,Nebraska,31000,1914571
NV,Nevada,32000,2972382
NH,New Hampshire,33000,1348124
NJ,New Jersey,34000,8878503
NM,New Mexico,35000,2092454
NY,New York,36000,19572319
NC,North Carolina,37000,10264876
ND,North Dakota,38000,756717
OH,Ohio,39000,11655397
OK,Oklahoma,40000,3932870
OR,Oregon,41000,4129803
PA,Pennsylvania,42000,12791530
RI,Rhode Island,44000,1057231
SC,South Carolina,45000,5020806
SD,South Dakota,46000,870638
TN,Tennessee,47000,6709356
TX,Texas,48000,28260856
UT,Utah,49000,3096848
VT,Vermont,50000,624313
VA,Virginia,51000,8454463
WA,Washington,53000,7404107
WV,West Virginia,54000,1817305
WI,Wisconsin,55000,5790716
WY,Wyoming,56000,581024
